feature,operator,threshold,TP,FP,FN,TN,precision,recall,specificity,f1,accuracy,balanced_accuracy,support_pos,support_neg,evaluated_pairs,pred_pos,pred_neg,selected_pairs_raw,selected_pairs_evaluated,skipped_exception,skipped_missing_observed
randomScore,>=,0.75,163,746,951,5713,0.1793179317931793,0.14631956912028726,0.8845022449295556,0.16114681166584283,0.7759144328535587,0.5154109070249214,1114,6459,7573,909,6664,909,909,51,0
randomScore,>=,0.76,162,729,952,5730,0.18181818181818182,0.14542190305206462,0.8871342313051556,0.16159600997506232,0.7780272019014921,0.5162780671786101,1114,6459,7573,891,6682,891,891,51,0
randomScore,>=,0.77,163,707,951,5752,0.18735632183908046,0.14631956912028726,0.8905403313206379,0.16431451612903225,0.7810643074078965,0.5184299502204626,1114,6459,7573,870,6703,870,870,51,0
randomScore,>=,0.78,155,689,959,5770,0.18364928909952608,0.13913824057450627,0.8933271404242142,0.15832482124616956,0.7823847880628548,0.5162326904993603,1114,6459,7573,844,6729,844,844,51,0
randomScore,>=,0.79,149,675,965,5784,0.1808252427184466,0.13375224416517056,0.8954946586158848,0.15376676986584106,0.7834411725868216,0.5146234513905277,1114,6459,7573,824,6749,824,824,51,0
randomScore,>=,0.8,143,667,971,5792,0.1765432098765432,0.12836624775583483,0.8967332404396966,0.14864864864864866,0.7837052687178133,0.5125497440977658,1114,6459,7573,810,6763,810,810,51,0
randomScore,>=,0.81,137,645,977,5814,0.17519181585677748,0.1229802513464991,0.9001393404551788,0.14451476793248944,0.7858180377657468,0.511559795900839,1114,6459,7573,782,6791,782,782,51,0
randomScore,>=,0.82,131,629,983,5830,0.1723684210526316,0.11759425493716337,0.9026165041028023,0.1398078975453575,0.7871385184207051,0.5101053795199828,1114,6459,7573,760,6813,760,760,51,0
randomScore,>=,0.83,122,608,992,5851,0.16712328767123288,0.10951526032315978,0.9058677813903081,0.13232104121475052,0.7887230952066552,0.507691520856734,1114,6459,7573,730,6843,730,730,51,0
randomScore,>=,0.84,116,583,998,5876,0.1659513590844063,0.10412926391382406,0.9097383495897198,0.12796469939327082,0.7912320084510762,0.5069338067517719,1114,6459,7573,699,6874,699,699,51,0
randomScore,>=,0.85,111,556,1003,5903,0.1664167916041979,0.09964093357271095,0.9139185632450844,0.12464907355418305,0.7941370658919846,0.5067797484088976,1114,6459,7573,667,6906,667,667,51,0
randomScore,>=,0.86,108,533,1006,5926,0.1684867394695788,0.09694793536804308,0.9174794859885431,0.12307692307692308,0.7967780272019015,0.5072137106782931,1114,6459,7573,641,6932,641,641,51,0
randomScore,>=,0.87,102,506,1012,5953,0.16776315789473684,0.09156193895870736,0.9216596996439077,0.11846689895470383,0.7995510365773142,0.5066108193013076,1114,6459,7573,608,6965,608,608,51,0
randomScore,>=,0.88,97,487,1017,5972,0.1660958904109589,0.08707360861759425,0.9246013314754606,0.11425206124852769,0.8013997094942559,0.5058374700465275,1114,6459,7573,584,6989,584,584,51,0
randomScore,>=,0.89,90,457,1024,6002,0.16453382084095064,0.0807899461400359,0.9292460133147546,0.10836845273931366,0.8044368150006602,0.5050179797273953,1114,6459,7573,547,7026,547,547,51,0
randomScore,>=,0.9,83,427,1031,6032,0.1627450980392157,0.07450628366247755,0.9338906951540487,0.10221674876847289,0.8074739205070646,0.5041984894082631,1114,6459,7573,510,7063,510,510,51,0
randomScore,>=,0.91,77,398,1037,6061,0.16210526315789472,0.06912028725314183,0.9383805542653662,0.09691629955947136,0.8105110260134689,0.503750420759254,1114,6459,7573,475,7098,475,475,51,0
randomScore,>=,0.92,70,365,1044,6094,0.16091954022988506,0.06283662477558348,0.9434897042885896,0.09038089089735313,0.8139442757163607,0.5031631645320865,1114,6459,7573,435,7138,435,435,51,0
randomScore,>=,0.93,65,331,1049,6128,0.16414141414141414,0.05834829443447038,0.9487536770397894,0.08609271523178808,0.8177736696157402,0.5035509857371299,1114,6459,7573,396,7177,396,396,51,0
randomScore,>=,0.94,58,301,1056,6158,0.1615598885793872,0.05206463195691203,0.9533983588790834,0.07875084860828242,0.8208107751221445,0.5027314954179978,1114,6459,7573,359,7214,359,359,51,0
randomScore,>=,0.95,54,260,1060,6199,0.17197452229299362,0.04847396768402154,0.9597460907261186,0.07563025210084033,0.8256965535454905,0.5041100292050701,1114,6459,7573,314,7259,314,314,51,0
