genotype,primordium_id,source_file,cell_1_id,cell_2_id,pair_centroid_x,pair_centroid_y,x_norm,y_norm,region,angle,junction_angle_mean
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-2-polygonal-network,4.5d-rpl4d-3-2-polygonal-network.json,19,21,406.883244,584.0203755,0.27971998443331714,0.43043899130672536,basal,7.822731902957026,151.329816
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-2-polygonal-network,4.5d-rpl4d-3-2-polygonal-network.json,20,25,335.0006475,570.4058095,0.07327796027621665,0.4100305290946542,basal,69.62533977040073,167.619544
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-2-polygonal-network,4.5d-rpl4d-3-2-polygonal-network.json,22,24,503.839336,579.3411080000001,0.558171415814793,0.4234246910378867,basal,54.48609000640686,165.192227
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-2-polygonal-network,4.5d-rpl4d-3-2-polygonal-network.json,27,32,631.343727,638.2766045,0.9243555250234579,0.5117699863098699,apical,68.49310568731804,151.130499
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-2-polygonal-network,4.5d-rpl4d-3-2-polygonal-network.json,28,31,484.586904,653.2669375,0.5028797148252923,0.5342407462721681,apical,4.217295005305959,159.396745
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-2-polygonal-network,4.5d-rpl4d-3-2-polygonal-network.json,29,30,329.39573,673.5504149999999,0.057181010941149774,0.5646460183967548,apical,13.063399369192636,165.176952
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-2-polygonal-network,4.5d-rpl4d-3-2-polygonal-network.json,33,37,390.7351145,700.972741,0.23334363323499915,0.6057525438591236,apical,70.96502873163374,171.710308
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-2-polygonal-network,4.5d-rpl4d-3-2-polygonal-network.json,34,45,535.771272,752.7971540000001,0.6498778068477739,0.6834382059928467,apical,86.84197629436572,160.969456
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-2-polygonal-network,4.5d-rpl4d-3-2-polygonal-network.json,35,38,600.5285085,732.805064,0.8358562721899391,0.6534697286058092,apical,51.19366100986782,158.638206
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-2-polygonal-network,4.5d-rpl4d-3-2-polygonal-network.json,36,41,649.8288865,738.203206,0.9774436705531878,0.6615616337772554,apical,56.87520172921719,174.410336
