job_index,split_index,split_id,model_name,feature_mode,status,elapsed_seconds,worker_pid,worker_log,summary_json,error
108,13,split_014,lightgbm,all,succeeded,241.6556199155748,3101800,output/all_satisfying_primordia_splits/split_014/models/all/lightgbm/worker.log,output/all_satisfying_primordia_splits/split_014/models/all/lightgbm/training_summary.json,
109,13,split_014,lr,selected4,succeeded,222.1407273877412,3101786,output/all_satisfying_primordia_splits/split_014/models/selected4/lr/worker.log,output/all_satisfying_primordia_splits/split_014/models/selected4/lr/training_summary.json,
110,13,split_014,svm,selected4,succeeded,177.27360114827752,3101799,output/all_satisfying_primordia_splits/split_014/models/selected4/svm/worker.log,output/all_satisfying_primordia_splits/split_014/models/selected4/svm/training_summary.json,
111,13,split_014,xgboost,selected4,succeeded,198.9870755262673,3101794,output/all_satisfying_primordia_splits/split_014/models/selected4/xgboost/worker.log,output/all_satisfying_primordia_splits/split_014/models/selected4/xgboost/training_summary.json,
112,13,split_014,lightgbm,selected4,succeeded,208.30476901493967,3101787,output/all_satisfying_primordia_splits/split_014/models/selected4/lightgbm/worker.log,output/all_satisfying_primordia_splits/split_014/models/selected4/lightgbm/training_summary.json,
113,14,split_015,lr,all,succeeded,208.47593937255442,3101790,output/all_satisfying_primordia_splits/split_015/models/all/lr/worker.log,output/all_satisfying_primordia_splits/split_015/models/all/lr/training_summary.json,
114,14,split_015,svm,all,succeeded,174.61538381688297,3101795,output/all_satisfying_primordia_splits/split_015/models/all/svm/worker.log,output/all_satisfying_primordia_splits/split_015/models/all/svm/training_summary.json,
115,14,split_015,xgboost,all,succeeded,201.92469863034785,3101764,output/all_satisfying_primordia_splits/split_015/models/all/xgboost/worker.log,output/all_satisfying_primordia_splits/split_015/models/all/xgboost/training_summary.json,
116,14,split_015,lightgbm,all,succeeded,242.77462221309543,3101779,output/all_satisfying_primordia_splits/split_015/models/all/lightgbm/worker.log,output/all_satisfying_primordia_splits/split_015/models/all/lightgbm/training_summary.json,
117,14,split_015,lr,selected4,succeeded,218.33494005165994,3101782,output/all_satisfying_primordia_splits/split_015/models/selected4/lr/worker.log,output/all_satisfying_primordia_splits/split_015/models/selected4/lr/training_summary.json,
118,14,split_015,svm,selected4,succeeded,173.68602225370705,3101783,output/all_satisfying_primordia_splits/split_015/models/selected4/svm/worker.log,output/all_satisfying_primordia_splits/split_015/models/selected4/svm/training_summary.json,
